name,rating,price,address
Grand Hotel Central,4.5,N/A,"Via Laietana, 30, Barcelona"
Hotel Pulitzer,4.4,N/A,"Carrer de Bergara, 8, Barcelona"
Hotel Barcelona Universal,4.4,N/A,"Avinguda del Paral·lel, 76-80, Barcelona"
Thai Barcelona,4.2,€€€,"Carrer de la Diputació, 273, Barcelona"
Hotel Constanza,4.4,N/A,"Carrer del Bruc, 33, Barcelona"
Olívia Plaza Hotel,4.6,N/A,"Plaça de Catalunya, 19, Barcelona"
Hotel Ohla Barcelona,4.6,N/A,"Via Laietana, 49, Barcelona"
ICON BCN,4.5,N/A,"Carrer de Roger de Llúria, 21, Barcelona"
Pizzeria Da Nanni | Born,4,€€,"Carrer del Rec, 30, Barcelona"
Hotel Barcelona Catedral,4.4,N/A,"Carrer dels Capellans, 4, Barcelona"
Los Caracoles,4.2,€€€,"Carrer dels Escudellers, 14, Barcelona"
Hotel Roma Reial,3.7,N/A,"Plaça Reial, 11, Barcelona"
Hotel La Ciudadela,4.4,N/A,"Passeig de Lluís Companys, 2, Barcelona"
Hotel Cram Barcelona,4.2,€€,"Carrer d'Aribau, 54, Barcelona"
Hotel Best Auto Hogar,3.8,N/A,"Avinguda del Paral·lel, 64, Barcelona"
Restaurante El Boliche del Gordo Cabrera,4.4,€€,"Carrer del Consell de Cent, 338, Barcelona"
Bar Lobo,4.5,€€,"Carrer del Pintor Fortuny, 3, Barcelona"
Elsa y Fred,4.5,€€,"Carrer del Rec Comtal, 11, Barcelona"
Hotel Market Barcelona.,3.8,N/A,"Carrer del Comte Borrell, 68, Barcelona"
Al Arabiya Restaurant & Cafe,4.8,N/A,"Carrer dels Escudellers, 25, Barcelona"
Alba Granados,4.3,€€€,"Carrer d'Enric Granados, 34, Barcelona"
La Carassa,4.5,€€,"Carrer del Brosolí, 1, Barcelona"
El Drac de Sant Jordi,4.2,N/A,"Plaça de Sant Josep Oriol, 3, Barcelona"
La Fonda,4.4,€€,"Carrer dels Escudellers, 10, Barcelona"
Flamant,4.3,€€,"Carrer d'Enric Granados, 23, Barcelona"
El Nou Ramonet,4.6,€€,"Carrer de Carbonell, 5, Barcelona"
Bodega La Tinaja,4.6,€€,"Carrer de l'Esparteria, 9, Barcelona"
Rosa Negra (Laietana) | Mexican Restaurant,4.4,€,"Via Laietana, 46, Barcelona"
Hard Rock Cafè,4.4,€€,"Plaça de Catalunya, 21, Barcelona"
Fàbrica Moritz Barcelona,4.3,€€,"Ronda de Sant Antoni, 41, Barcelona"
Flaherty´s Irish Pub Barcelona,4.3,€€,"Plaça de Joaquim Xirau, s/n, Barcelona"
Tapas 24,3.8,€€,"Carrer de la Diputació, 269, Barcelona"
"Mandarin Oriental, Barcelona",4.7,N/A,"Passeig de Gràcia, 38-40, Barcelona"
Pura Brasa | Rambla Catalunya,4,€€,"Rambla de Catalunya, 13, Barcelona"
Hotel Best Aranea,4,N/A,"Carrer del Consell de Cent, 444, Barcelona"
Cuines Santa Caterina,4.1,€€,"Mercado de Santa Caterina, Avinguda de Francesc Cambó, 16, Barcelona"
Riko's,4.2,€,"Carrer de Roger de Llúria, 54, Barcelona"
La Dolça Herminia,4.2,€,"Carrer de les Magdalenes, 27, Barcelona"
Guanabara,4.2,€€,"Carrer del Consell de Cent, 403, Barcelona"
Habana Vieja,4.6,€€,"Carrer dels Banys Vells, 2, Barcelona"
La Plata,4.7,€,"Carrer de la Mercè, 28, Barcelona"
Sagardi Argenteria,4.4,€€,"Carrer de l'Argenteria, 62, Barcelona"
Cerveceria Catalana,4.4,€€,"Carrer de Mallorca, 236, Barcelona"
Ca La Nuri Eixample,4.2,€€,"Carrer del Consell de Cent, 377, Barcelona"
El Pintor,4.2,€€,"Carrer de Sant Honorat, 7, Barcelona"
Merendero de la Mari,4.1,€€€,"Plaça de Pau Vila, 1, Barcelona"
Els 4 Gats,4.1,€€€,"Carrer de Montsió, 3, Barcelona"
Blanc,4.2,N/A,"Passeig de Gràcia, 38-40, Barcelona"
Sagardi Muntaner,4.3,€€,"Carrer de Muntaner, 72, Barcelona"
ATN restaurant,4,€€,"Carrer de la Canuda, 6, Barcelona"
Puertecillo Born,4.5,€€,"Carrer Comercial, 7, Barcelona"
Federal Cafè Sant Antoni,4,€€,"Carrer del Parlament, 39, Barcelona"
Els Ocellets,4.4,€€,"Ronda de Sant Pau, 55, Barcelona"
El Quim de la Boqueria,4.6,€€,"Mercado de La Boqueria, La Rambla, 91, Barcelona"
Tablao Flamenco Cordobes | Barcelona,4.7,€€€,"La Rambla, 35, Barcelona"
Shunka,4.7,€€€,"Carrer dels Sagristans, 5, Barcelona"
Tactic Surf Shop X SEA YOU,4.5,N/A,"Carrer d'Enric Granados, 11, Barcelona"
Taller de Tapas,4.6,€€,"Plaça de Sant Josep Oriol, 9, Barcelona"
Hanoi Restaurant,4.3,€€,"Plaça del Doctor Letamendi, 27, Barcelona"
Restaurant Can Culleretes,4.3,€€,"Carrer d'en Quintana, 5, Barcelona"
Hotel Hesperia Presidente Barcelona,4.5,N/A,"Avinguda Diagonal, 570, Barcelona"
Tàmara | Barcelona,4,€€,"Carrer de Muntaner, 178, Barcelona"
El Cangrejo Loco | Eixample,4.2,€€,"Carrer d'Aribau, 115, Barcelona"
Hotel Guitart Grand Passage,4.1,N/A,"Carrer de Muntaner, 212, Barcelona"
La Vietnamita | Gràcia,4.3,€€,"Carrer del Torrent de l'Olla, 78, Barcelona"
"Sunotel Aston, Barcelona",3.7,N/A,"Carrer de París, 101-107, Barcelona"
Gusto Restaurant,4.7,€€,"Carrer del Rosselló, 108, Barcelona"
Antic villarroel,4.2,€€,"Carrer de Villarroel, 182, Barcelona"
